user_id,email,signup_date,country
u04-000000,user0@example.com,2026-03-21,IN
u04-000001,user1@mail.co.in,2026-01-14,AU
u04-000002,user2@example.com,2026-03-14,IN
u04-000003,user3@uni.edu,2026-07-19,IN
u04-000004,user4@example.com,2026-07-13,DE
u04-000005,user5@example.com,2026-05-27,IN
u04-000006,user6@mail.co.in,2026-01-22,GB
u04-000007,user7@corp.io,2026-01-15,AU
u04-000008,user8@corp.io,2026-07-25,AU
u04-000009,user9@corp.io,2026-08-15,US
u04-000010,user10@corp.io,2026-03-15,DE
u04-000011,user11@mail.co.in,2026-03-10,DE
u04-000012,user12@mail.co.in,2026-09-21,SG
u04-000013,user13@example.com,2026-06-14,GB
u04-000014,user14@corp.io,2026-07-25,DE
u04-000015,user15@mail.co.in,2026-08-23,SG
u04-000016,user16@example.com,2026-08-25,DE
u04-000017,user17@mail.co.in,2026-05-17,US
u04-000018,user18@corp.io,2026-06-25,SG
u04-000019,user19@example.com,2026-02-16,GB
u04-000020,user20@example.com,2026-02-12,DE
u04-000021,user21@corp.io,2026-06-24,US
u04-000022,user22@uni.edu,2026-01-13,AU
u04-000023,user23@uni.edu,2026-04-18,SG
u04-000024,user24@example.com,2026-04-20,AU
u04-000025,user25@corp.io,2026-01-10,DE
u04-000026,user26@mail.co.in,2026-06-23,SG
u04-000027,user27@example.com,2026-01-10,US
u04-000028,user28@mail.co.in,2026-09-13,GB
u04-000029,user29@uni.edu,2026-07-17,GB
u04-000030,user30@corp.io,2026-05-17,GB
u04-000031,user31@mail.co.in,2026-05-27,US
u04-000032,user32@example.com,2026-01-20,US
u04-000033,user33@example.com,2026-06-24,IN
u04-000034,user34@mail.co.in,2026-09-15,US
u04-000035,user35@example.com,2026-09-27,GB
u04-000036,user36@corp.io,2026-09-13,DE
u04-000037,user37@mail.co.in,2026-05-27,SG
u04-000038,user38@mail.co.in,2026-07-12,SG
u04-000039,user39@uni.edu,2026-05-26,IN
u04-000040,user40@uni.edu,2026-08-16,SG
u04-000041,user41@mail.co.in,2026-04-25,AU
u04-000042,user42@corp.io,2026-08-10,SG
u04-000043,user43@corp.io,2026-09-12,IN
u04-000044,user44@uni.edu,2026-06-10,AU
u04-000045,user45@mail.co.in,2026-02-22,GB
u04-000046,user46@example.com,2026-03-22,AU
u04-000047,user47@corp.io,2026-09-28,AU
u04-000048,user48@mail.co.in,2026-08-23,AU
u04-000049,user49@mail.co.in,2026-05-15,GB
u04-000050,user50@uni.edu,2026-04-20,IN
u04-000051,user51@corp.io,2026-04-16,AU
u04-000052,user52@mail.co.in,2026-04-19,DE
u04-000053,user53@mail.co.in,2026-07-19,DE
u04-000054,user54@uni.edu,2026-01-21,US
u04-000055,user55@example.com,2026-01-25,GB
u04-000056,user56@example.com,2026-03-28,AU
u04-000057,user57@example.com,2026-09-24,DE
u04-000058,user58@uni.edu,2026-08-16,SG
u04-000059,user59@corp.io,2026-01-10,IN
u04-000060,user60@mail.co.in,2026-01-23,DE
u04-000061,user61@uni.edu,2026-03-11,US
u04-000062,user62@mail.co.in,2026-05-25,SG
u04-000063,user63@uni.edu,2026-03-20,AU
u04-000064,user64@mail.co.in,2026-07-27,AU
u04-000065,user65@example.com,2026-07-28,US
u04-000066,user66@corp.io,2026-02-26,AU
u04-000067,user67@example.com,2026-08-10,IN
u04-000068,user68@corp.io,2026-08-16,SG
u04-000069,user69@mail.co.in,2026-07-24,GB
u04-000070,user70@example.com,2026-06-27,SG
u04-000071,user71@uni.edu,2026-05-11,IN
u04-000072,user72@corp.io,2026-02-28,DE
u04-000073,user73@mail.co.in,2026-07-28,US
u04-000074,user74@example.com,2026-01-16,US
