user_id,email,signup_date,country
u05-000000,user0@mail.co.in,2026-01-28,IN
u05-000001,user1@uni.edu,2026-01-20,DE
u05-000002,user2@example.com,2026-05-17,IN
u05-000003,user3@uni.edu,2026-02-25,US
u05-000004,user4@corp.io,2026-06-27,IN
u05-000005,user5@uni.edu,2026-05-18,DE
u05-000006,user6@corp.io,2026-08-24,GB
u05-000007,user7@uni.edu,2026-02-10,GB
u05-000008,user8@corp.io,2026-05-27,GB
u05-000009,user9@mail.co.in,2026-08-27,AU
u05-000010,user10@mail.co.in,2026-01-26,IN
u05-000011,user11@corp.io,2026-01-11,US
u05-000012,user12@mail.co.in,2026-08-12,US
u05-000013,user13@corp.io,2026-08-16,GB
u05-000014,user14@mail.co.in,2026-04-15,GB
u05-000015,user15@corp.io,2026-08-21,DE
u05-000016,user16@example.com,2026-07-23,SG
u05-000017,user17@mail.co.in,2026-02-24,GB
u05-000018,user18@uni.edu,2026-04-26,US
u05-000019,user19@corp.io,2026-04-28,SG
u05-000020,user20@corp.io,2026-04-21,AU
u05-000021,user21@example.com,2026-07-18,IN
u05-000022,user22@uni.edu,2026-01-11,IN
u05-000023,user23@mail.co.in,2026-08-22,IN
u05-000024,user24@mail.co.in,2026-08-21,DE
u05-000025,user25@uni.edu,2026-08-15,AU
u05-000026,user26@uni.edu,2026-09-27,US
u05-000027,user27@example.com,2026-09-14,US
u05-000028,user28@example.com,2026-06-18,IN
u05-000029,user29@example.com,2026-05-24,AU
u05-000030,user30@mail.co.in,2026-02-14,GB
u05-000031,user31@corp.io,2026-07-20,DE
u05-000032,user32@mail.co.in,2026-07-23,SG
u05-000033,user33@uni.edu,2026-02-16,AU
u05-000034,user34@mail.co.in,2026-07-19,IN
u05-000035,user35@example.com,2026-07-12,DE
u05-000036,user36@example.com,2026-06-25,GB
u05-000037,user37@corp.io,2026-06-26,AU
u05-000038,user38@uni.edu,2026-02-19,AU
u05-000039,user39@example.com,2026-02-25,IN
u05-000040,user40@corp.io,2026-06-28,SG
u05-000041,user41@mail.co.in,2026-06-28,GB
u05-000042,user42@corp.io,2026-09-16,US
u05-000043,user43@corp.io,2026-03-27,GB
u05-000044,user44@corp.io,2026-08-20,US
u05-000045,user45@example.com,2026-07-22,GB
u05-000046,user46@mail.co.in,2026-02-24,US
u05-000047,user47@corp.io,2026-09-24,DE
u05-000048,user48@mail.co.in,2026-04-17,IN
u05-000049,user49@mail.co.in,2026-06-25,DE
u05-000050,user50@corp.io,2026-06-16,AU
u05-000051,user51@example.com,2026-05-17,DE
u05-000052,user52@corp.io,2026-02-13,IN
u05-000053,user53@mail.co.in,2026-09-17,SG
u05-000054,user54@example.com,2026-01-14,SG
