user_id,email,signup_date,country
u03-000000,user0@corp.io,2026-09-12,GB
u03-000001,user1@uni.edu,2026-09-11,AU
u03-000002,user2@mail.co.in,2026-09-27,IN
u03-000003,user3@uni.edu,2026-04-27,SG
u03-000004,user4@example.com,2026-03-22,GB
u03-000005,user5@example.com,2026-09-17,AU
u03-000006,user6@corp.io,2026-01-18,DE
u03-000007,user7@mail.co.in,2026-05-22,DE
u03-000008,user8@mail.co.in,2026-04-18,DE
u03-000009,user9@mail.co.in,2026-03-14,SG
u03-000010,user10@uni.edu,2026-03-10,DE
u03-000011,user11@mail.co.in,2026-06-24,AU
u03-000012,user12@uni.edu,2026-03-27,SG
u03-000013,user13@corp.io,2026-07-13,US
u03-000014,user14@example.com,2026-07-15,SG
u03-000015,user15@uni.edu,2026-09-17,IN
u03-000016,user16@corp.io,2026-07-23,AU
u03-000017,user17@uni.edu,2026-07-28,US
u03-000018,user18@example.com,2026-09-24,IN
u03-000019,user19@example.com,2026-06-15,US
u03-000020,user20@corp.io,2026-09-22,AU
u03-000021,user21@corp.io,2026-09-10,US
u03-000022,user22@corp.io,2026-06-23,DE
u03-000023,user23@corp.io,2026-03-19,IN
u03-000024,user24@uni.edu,2026-09-20,IN
u03-000025,user25@example.com,2026-06-10,DE
u03-000026,user26@example.com,2026-02-26,US
u03-000027,user27@mail.co.in,2026-07-28,IN
u03-000028,user28@uni.edu,2026-09-13,DE
u03-000029,user29@uni.edu,2026-05-19,IN
u03-000030,user30@example.com,2026-07-19,SG
u03-000031,user31@uni.edu,2026-03-22,US
u03-000032,user32@corp.io,2026-05-12,SG
u03-000033,user33@mail.co.in,2026-08-13,DE
u03-000034,user34@example.com,2026-06-18,US
u03-000035,user35@uni.edu,2026-01-11,US
u03-000036,user36@corp.io,2026-06-17,AU
u03-000037,user37@mail.co.in,2026-03-19,IN
u03-000038,user38@mail.co.in,2026-04-17,IN
u03-000039,user39@uni.edu,2026-09-25,IN
u03-000040,user40@mail.co.in,2026-01-26,IN
u03-000041,user41@corp.io,2026-06-11,IN
u03-000042,user42@mail.co.in,2026-07-15,US
u03-000043,user43@mail.co.in,2026-06-22,DE
u03-000044,user44@uni.edu,2026-03-14,DE
u03-000045,user45@example.com,2026-03-11,AU
u03-000046,user46@corp.io,2026-08-10,US
u03-000047,user47@uni.edu,2026-06-16,GB
u03-000048,user48@example.com,2026-04-14,IN
u03-000049,user49@mail.co.in,2026-03-10,SG
u03-000050,user50@corp.io,2026-06-23,DE
u03-000051,user51@mail.co.in,2026-09-20,SG
u03-000052,user52@uni.edu,2026-05-27,GB
u03-000053,user53@corp.io,2026-07-19,AU
u03-000054,user54@example.com,2026-07-20,IN
u03-000055,user55@example.com,2026-06-20,DE
u03-000056,user56@corp.io,2026-08-23,IN
