user_id,email,signup_date,country
u01-000000,user0@example.com,2026-01-25,AU
u01-000001,user1@mail.co.in,2026-09-14,IN
u01-000002,user2@example.com,2026-07-14,IN
u01-000003,user3@uni.edu,2026-07-28,IN
u01-000004,user4@corp.io,2026-02-19,GB
u01-000005,user5@mail.co.in,2026-07-11,US
u01-000006,user6@example.com,2026-04-10,DE
u01-000007,user7@uni.edu,2026-04-14,SG
u01-000008,user8@corp.io,2026-04-28,IN
u01-000009,user9@example.com,2026-06-23,US
u01-000010,user10@example.com,2026-06-26,US
u01-000011,user11@example.com,2026-02-17,SG
u01-000012,user12@uni.edu,2026-08-10,AU
u01-000013,user13@corp.io,2026-01-14,US
u01-000014,user14@example.com,2026-08-18,GB
u01-000015,user15@example.com,2026-01-17,IN
u01-000016,user16@corp.io,2026-04-27,SG
u01-000017,user17@uni.edu,2026-02-12,SG
u01-000018,user18@uni.edu,2026-09-20,DE
u01-000019,user19@example.com,2026-08-18,GB
u01-000020,user20@corp.io,2026-07-19,SG
u01-000021,user21@uni.edu,2026-04-13,GB
u01-000022,user22@mail.co.in,2026-09-15,IN
u01-000023,user23@mail.co.in,2026-05-27,GB
u01-000024,user24@example.com,2026-02-13,IN
u01-000025,user25@example.com,2026-04-12,US
u01-000026,user26@corp.io,2026-07-26,SG
u01-000027,user27@example.com,2026-08-11,US
u01-000028,user28@uni.edu,2026-09-26,IN
u01-000029,user29@example.com,2026-02-24,US
u01-000030,user30@mail.co.in,2026-08-14,US
u01-000031,user31@example.com,2026-06-18,AU
u01-000032,user32@uni.edu,2026-08-12,DE
u01-000033,user33@example.com,2026-05-19,DE
u01-000034,user34@corp.io,2026-01-15,DE
u01-000035,user35@mail.co.in,2026-08-26,GB
u01-000036,user36@mail.co.in,2026-02-26,SG
u01-000037,user37@uni.edu,2026-09-26,DE
u01-000038,user38@corp.io,2026-03-26,US
u01-000039,user39@mail.co.in,2026-09-14,GB
u01-000040,user40@example.com,2026-05-22,AU
u01-000041,user41@example.com,2026-02-27,DE
u01-000042,user42@uni.edu,2026-05-21,IN
u01-000043,user43@example.com,2026-05-26,AU
u01-000044,user44@corp.io,2026-03-22,GB
u01-000045,user45@mail.co.in,2026-04-10,SG
u01-000046,user46@uni.edu,2026-07-21,DE
u01-000047,user47@example.com,2026-01-23,US
u01-000048,user48@corp.io,2026-04-21,AU
u01-000049,user49@corp.io,2026-02-17,DE
u01-000050,user50@corp.io,2026-02-10,DE
u01-000051,user51@example.com,2026-08-12,SG
u01-000052,user52@mail.co.in,2026-01-13,GB
u01-000053,user53@example.com,2026-09-15,GB
u01-000054,user54@mail.co.in,2026-02-27,GB
u01-000055,user55@example.com,2026-01-14,US
u01-000056,user56@example.com,2026-08-21,US
u01-000057,user57@uni.edu,2026-05-13,DE
u01-000058,user58@uni.edu,2026-07-22,GB
