user_id,email,signup_date,country
u07-000000,user0@example.com,2026-07-16,US
u07-000001,user1@example.com,2026-02-11,GB
u07-000002,user2@corp.io,2026-05-19,US
u07-000003,user3@example.com,2026-06-28,GB
u07-000004,user4@example.com,2026-04-10,IN
u07-000005,user5@corp.io,2026-02-24,DE
u07-000006,user6@uni.edu,2026-07-18,IN
u07-000007,user7@corp.io,2026-05-23,US
u07-000008,user8@mail.co.in,2026-01-26,DE
u07-000009,user9@corp.io,2026-03-25,US
u07-000010,user10@example.com,2026-04-12,GB
u07-000011,user11@uni.edu,2026-06-10,US
u07-000012,user12@mail.co.in,2026-05-22,US
u07-000013,user13@uni.edu,2026-02-18,IN
u07-000014,user14@mail.co.in,2026-03-20,SG
u07-000015,user15@mail.co.in,2026-06-11,SG
u07-000016,user16@example.com,2026-08-24,DE
u07-000017,user17@uni.edu,2026-08-16,SG
u07-000018,user18@example.com,2026-05-28,US
u07-000019,user19@example.com,2026-09-25,GB
u07-000020,user20@corp.io,2026-05-20,AU
u07-000021,user21@corp.io,2026-03-14,GB
u07-000022,user22@example.com,2026-04-19,IN
u07-000023,user23@corp.io,2026-08-25,GB
u07-000024,user24@example.com,2026-07-22,GB
u07-000025,user25@corp.io,2026-03-15,AU
u07-000026,user26@mail.co.in,2026-07-12,DE
u07-000027,user27@mail.co.in,2026-02-27,IN
u07-000028,user28@example.com,2026-09-26,DE
u07-000029,user29@mail.co.in,2026-08-19,DE
u07-000030,user30@corp.io,2026-03-18,US
u07-000031,user31@uni.edu,2026-01-15,IN
u07-000032,user32@uni.edu,2026-09-10,US
u07-000033,user33@example.com,2026-04-20,US
u07-000034,user34@uni.edu,2026-08-11,IN
u07-000035,user35@mail.co.in,2026-01-21,SG
u07-000036,user36@mail.co.in,2026-08-11,GB
u07-000037,user37@corp.io,2026-09-20,IN
u07-000038,user38@mail.co.in,2026-02-19,IN
u07-000039,user39@mail.co.in,2026-08-20,IN
u07-000040,user40@uni.edu,2026-08-15,GB
u07-000041,user41@uni.edu,2026-01-18,GB
u07-000042,user42@corp.io,2026-09-10,US
u07-000043,user43@example.com,2026-07-10,IN
u07-000044,user44@mail.co.in,2026-08-26,IN
u07-000045,user45@uni.edu,2026-01-21,AU
u07-000046,user46@example.com,2026-09-16,GB
u07-000047,user47@example.com,2026-08-22,GB
u07-000048,user48@mail.co.in,2026-07-20,SG
u07-000049,user49@example.com,2026-07-18,US
u07-000050,user50@uni.edu,2026-01-16,DE
u07-000051,user51@corp.io,2026-04-17,DE
u07-000052,user52@corp.io,2026-05-15,AU
u07-000053,user53@example.com,2026-05-22,DE
u07-000054,user54@corp.io,2026-01-18,AU
u07-000055,user55@corp.io,2026-03-13,DE
u07-000056,user56@example.com,2026-02-20,US
u07-000057,user57@uni.edu,2026-07-18,AU
u07-000058,user58@corp.io,2026-01-12,SG
u07-000059,user59@mail.co.in,2026-05-20,AU
u07-000060,user60@example.com,2026-08-16,DE
u07-000061,user61@example.com,2026-02-25,GB
u07-000062,user62@corp.io,2026-08-24,US
u07-000063,user63@uni.edu,2026-04-28,DE
u07-000064,user64@example.com,2026-03-21,GB
u07-000065,user65@corp.io,2026-07-26,AU
u07-000066,user66@uni.edu,2026-06-28,SG
u07-000067,user67@mail.co.in,2026-01-10,DE
u07-000068,user68@uni.edu,2026-04-24,GB
u07-000069,user69@example.com,2026-07-15,AU
u07-000070,user70@uni.edu,2026-06-26,AU
u07-000071,user71@uni.edu,2026-09-21,DE
u07-000072,user72@mail.co.in,2026-09-17,SG
u07-000073,user73@corp.io,2026-09-14,GB
u07-000074,user74@mail.co.in,2026-08-20,DE
u07-000075,user75@mail.co.in,2026-07-20,DE
u07-000076,user76@corp.io,2026-07-12,US
