user_id,email,signup_date,country
u00-000000,user0@corp.io,2026-03-27,DE
u00-000001,user1@mail.co.in,2026-04-17,GB
u00-000002,user2@corp.io,2026-04-21,US
u00-000003,user3@corp.io,2026-03-11,AU
u00-000004,user4@corp.io,2026-03-24,AU
u00-000005,user5@corp.io,2026-04-10,SG
u00-000006,user6@corp.io,2026-04-27,US
u00-000007,user7@example.com,2026-05-15,GB
u00-000008,user8@example.com,2026-01-20,IN
u00-000009,user9@uni.edu,2026-05-26,SG
u00-000010,user10@example.com,2026-04-19,DE
u00-000011,user11@uni.edu,2026-04-17,GB
u00-000012,user12@corp.io,2026-02-19,DE
u00-000013,user13@corp.io,2026-06-25,SG
u00-000014,user14@uni.edu,2026-08-20,IN
u00-000015,user15@example.com,2026-03-24,AU
u00-000016,user16@example.com,2026-04-19,IN
u00-000017,user17@uni.edu,2026-03-16,US
u00-000018,user18@uni.edu,2026-06-20,GB
u00-000019,user19@corp.io,2026-04-22,IN
u00-000020,user20@mail.co.in,2026-04-19,GB
u00-000021,user21@corp.io,2026-06-10,SG
u00-000022,user22@mail.co.in,2026-02-25,DE
u00-000023,user23@corp.io,2026-07-22,SG
u00-000024,user24@example.com,2026-05-11,IN
u00-000025,user25@mail.co.in,2026-04-13,GB
u00-000026,user26@mail.co.in,2026-03-13,IN
u00-000027,user27@mail.co.in,2026-09-18,US
u00-000028,user28@uni.edu,2026-02-16,AU
u00-000029,user29@example.com,2026-03-14,AU
u00-000030,user30@uni.edu,2026-03-12,DE
u00-000031,user31@uni.edu,2026-04-16,GB
u00-000032,user32@example.com,2026-01-17,US
u00-000033,user33@corp.io,2026-04-25,US
u00-000034,user34@uni.edu,2026-09-23,AU
u00-000035,user35@example.com,2026-01-24,AU
u00-000036,user36@example.com,2026-07-12,AU
u00-000037,user37@corp.io,2026-05-16,IN
u00-000038,user38@corp.io,2026-02-19,US
u00-000039,user39@uni.edu,2026-04-20,US
u00-000040,user40@example.com,2026-04-28,AU
u00-000041,user41@mail.co.in,2026-01-27,DE
u00-000042,user42@corp.io,2026-03-14,AU
u00-000043,user43@corp.io,2026-07-16,SG
u00-000044,user44@mail.co.in,2026-06-13,GB
u00-000045,user45@uni.edu,2026-07-20,DE
